name_datacenter,ano,classe,percentual,ano_operacional_referencia
Ascenty - Paulinia PLN1,2016,Vegetação densa,1.89,2019
Ascenty - Paulinia PLN1,2016,Grama,47.24,2019
Ascenty - Paulinia PLN1,2016,Solo exposto,16.58,2019
Ascenty - Paulinia PLN1,2016,Construção,34.3,2019
Ascenty - Paulinia PLN1,2017,Vegetação densa,3.78,2019
Ascenty - Paulinia PLN1,2017,Grama,49.7,2019
Ascenty - Paulinia PLN1,2017,Solo exposto,20.57,2019
Ascenty - Paulinia PLN1,2017,Construção,25.95,2019
Ascenty - Paulinia PLN1,2018,Vegetação densa,2.6,2019
Ascenty - Paulinia PLN1,2018,Grama,33.65,2019
Ascenty - Paulinia PLN1,2018,Solo exposto,29.16,2019
Ascenty - Paulinia PLN1,2018,Construção,34.58,2019
Ascenty - Paulinia PLN1,2019,Vegetação densa,2.57,2019
Ascenty - Paulinia PLN1,2019,Grama,43.17,2019
Ascenty - Paulinia PLN1,2019,Solo exposto,18.89,2019
Ascenty - Paulinia PLN1,2019,Construção,35.37,2019
Ascenty - Paulinia PLN1,2020,Vegetação densa,2.35,2019
Ascenty - Paulinia PLN1,2020,Grama,33.48,2019
Ascenty - Paulinia PLN1,2020,Solo exposto,21.75,2019
Ascenty - Paulinia PLN1,2020,Construção,42.42,2019
Ascenty - Paulinia PLN1,2021,Vegetação densa,3.1,2019
Ascenty - Paulinia PLN1,2021,Grama,40.68,2019
Ascenty - Paulinia PLN1,2021,Solo exposto,19.89,2019
Ascenty - Paulinia PLN1,2021,Construção,36.33,2019
Ascenty - Paulinia PLN1,2022,Vegetação densa,4.14,2019
Ascenty - Paulinia PLN1,2022,Grama,43.46,2019
Ascenty - Paulinia PLN1,2022,Solo exposto,13.12,2019
Ascenty - Paulinia PLN1,2022,Construção,39.29,2019
Ascenty - Paulinia PLN1,2023,Vegetação densa,3.92,2019
Ascenty - Paulinia PLN1,2023,Grama,48.38,2019
Ascenty - Paulinia PLN1,2023,Solo exposto,8.34,2019
Ascenty - Paulinia PLN1,2023,Construção,39.36,2019
Ascenty - Paulinia PLN1,2024,Vegetação densa,7.13,2019
Ascenty - Paulinia PLN1,2024,Grama,36.36,2019
Ascenty - Paulinia PLN1,2024,Solo exposto,25.6,2019
Ascenty - Paulinia PLN1,2024,Construção,30.91,2019
Ascenty - Paulinia PLN1,2025,Vegetação densa,6.06,2019
Ascenty - Paulinia PLN1,2025,Grama,35.86,2019
Ascenty - Paulinia PLN1,2025,Solo exposto,11.87,2019
Ascenty - Paulinia PLN1,2025,Construção,46.2,2019
Ascenty - Paulinia PLN1,2026,Vegetação densa,5.74,2019
Ascenty - Paulinia PLN1,2026,Grama,42.39,2019
Ascenty - Paulinia PLN1,2026,Solo exposto,11.12,2019
Ascenty - Paulinia PLN1,2026,Construção,40.75,2019
