name_datacenter,ano,classe,percentual,ano_operacional_referencia
ODATA RJ01,2016,Vegetação densa,0.0,2025
ODATA RJ01,2016,Grama,0.0,2025
ODATA RJ01,2016,Solo exposto,0.0,2025
ODATA RJ01,2016,Construção,0.0,2025
ODATA RJ01,2017,Vegetação densa,0.11,2025
ODATA RJ01,2017,Grama,14.76,2025
ODATA RJ01,2017,Solo exposto,0.46,2025
ODATA RJ01,2017,Construção,84.67,2025
ODATA RJ01,2018,Vegetação densa,1.5,2025
ODATA RJ01,2018,Grama,20.25,2025
ODATA RJ01,2018,Solo exposto,2.28,2025
ODATA RJ01,2018,Construção,75.97,2025
ODATA RJ01,2019,Vegetação densa,0.96,2025
ODATA RJ01,2019,Grama,16.08,2025
ODATA RJ01,2019,Solo exposto,1.46,2025
ODATA RJ01,2019,Construção,81.5,2025
ODATA RJ01,2020,Vegetação densa,0.32,2025
ODATA RJ01,2020,Grama,11.12,2025
ODATA RJ01,2020,Solo exposto,2.0,2025
ODATA RJ01,2020,Construção,86.56,2025
ODATA RJ01,2021,Vegetação densa,0.68,2025
ODATA RJ01,2021,Grama,16.79,2025
ODATA RJ01,2021,Solo exposto,4.1,2025
ODATA RJ01,2021,Construção,78.43,2025
ODATA RJ01,2022,Vegetação densa,1.0,2025
ODATA RJ01,2022,Grama,14.9,2025
ODATA RJ01,2022,Solo exposto,10.41,2025
ODATA RJ01,2022,Construção,73.69,2025
ODATA RJ01,2023,Vegetação densa,0.64,2025
ODATA RJ01,2023,Grama,9.48,2025
ODATA RJ01,2023,Solo exposto,8.91,2025
ODATA RJ01,2023,Construção,80.96,2025
ODATA RJ01,2024,Vegetação densa,0.21,2025
ODATA RJ01,2024,Grama,6.42,2025
ODATA RJ01,2024,Solo exposto,8.98,2025
ODATA RJ01,2024,Construção,84.39,2025
ODATA RJ01,2025,Vegetação densa,0.82,2025
ODATA RJ01,2025,Grama,10.66,2025
ODATA RJ01,2025,Solo exposto,5.99,2025
ODATA RJ01,2025,Construção,82.53,2025
ODATA RJ01,2026,Vegetação densa,0.64,2025
ODATA RJ01,2026,Grama,12.51,2025
ODATA RJ01,2026,Solo exposto,4.1,2025
ODATA RJ01,2026,Construção,82.75,2025
