name_datacenter,ano,classe,percentual,ano_operacional_referencia
ODATA SP02 DC1,2016,Vegetação densa,4.86,2020
ODATA SP02 DC1,2016,Grama,35.7,2020
ODATA SP02 DC1,2016,Solo exposto,19.55,2020
ODATA SP02 DC1,2016,Construção,39.9,2020
ODATA SP02 DC1,2017,Vegetação densa,5.8,2020
ODATA SP02 DC1,2017,Grama,33.74,2020
ODATA SP02 DC1,2017,Solo exposto,21.54,2020
ODATA SP02 DC1,2017,Construção,38.92,2020
ODATA SP02 DC1,2018,Vegetação densa,6.92,2020
ODATA SP02 DC1,2018,Grama,29.13,2020
ODATA SP02 DC1,2018,Solo exposto,24.3,2020
ODATA SP02 DC1,2018,Construção,39.65,2020
ODATA SP02 DC1,2019,Vegetação densa,5.77,2020
ODATA SP02 DC1,2019,Grama,28.57,2020
ODATA SP02 DC1,2019,Solo exposto,23.18,2020
ODATA SP02 DC1,2019,Construção,42.48,2020
ODATA SP02 DC1,2020,Vegetação densa,5.0,2020
ODATA SP02 DC1,2020,Grama,25.91,2020
ODATA SP02 DC1,2020,Solo exposto,24.44,2020
ODATA SP02 DC1,2020,Construção,44.65,2020
ODATA SP02 DC1,2021,Vegetação densa,3.81,2020
ODATA SP02 DC1,2021,Grama,25.84,2020
ODATA SP02 DC1,2021,Solo exposto,22.24,2020
ODATA SP02 DC1,2021,Construção,48.11,2020
ODATA SP02 DC1,2022,Vegetação densa,5.17,2020
ODATA SP02 DC1,2022,Grama,27.66,2020
ODATA SP02 DC1,2022,Solo exposto,22.66,2020
ODATA SP02 DC1,2022,Construção,44.51,2020
ODATA SP02 DC1,2023,Vegetação densa,4.72,2020
ODATA SP02 DC1,2023,Grama,30.21,2020
ODATA SP02 DC1,2023,Solo exposto,20.24,2020
ODATA SP02 DC1,2023,Construção,44.83,2020
ODATA SP02 DC1,2024,Vegetação densa,4.41,2020
ODATA SP02 DC1,2024,Grama,16.57,2020
ODATA SP02 DC1,2024,Solo exposto,25.7,2020
ODATA SP02 DC1,2024,Construção,53.32,2020
ODATA SP02 DC1,2025,Vegetação densa,3.74,2020
ODATA SP02 DC1,2025,Grama,16.64,2020
ODATA SP02 DC1,2025,Solo exposto,25.56,2020
ODATA SP02 DC1,2025,Construção,54.06,2020
ODATA SP02 DC1,2026,Vegetação densa,6.22,2020
ODATA SP02 DC1,2026,Grama,31.01,2020
ODATA SP02 DC1,2026,Solo exposto,11.4,2020
ODATA SP02 DC1,2026,Construção,51.36,2020
