name_datacenter,ano,classe,percentual,ano_operacional_referencia
Quântico Data Center,2016,Vegetação densa,32.34,2021
Quântico Data Center,2016,Grama,17.25,2021
Quântico Data Center,2016,Solo exposto,27.68,2021
Quântico Data Center,2016,Construção,22.73,2021
Quântico Data Center,2017,Vegetação densa,30.14,2021
Quântico Data Center,2017,Grama,13.56,2021
Quântico Data Center,2017,Solo exposto,29.05,2021
Quântico Data Center,2017,Construção,27.25,2021
Quântico Data Center,2018,Vegetação densa,21.77,2021
Quântico Data Center,2018,Grama,21.4,2021
Quântico Data Center,2018,Solo exposto,23.4,2021
Quântico Data Center,2018,Construção,33.43,2021
Quântico Data Center,2019,Vegetação densa,18.58,2021
Quântico Data Center,2019,Grama,20.64,2021
Quântico Data Center,2019,Solo exposto,10.54,2021
Quântico Data Center,2019,Construção,50.25,2021
Quântico Data Center,2020,Vegetação densa,19.67,2021
Quântico Data Center,2020,Grama,18.01,2021
Quântico Data Center,2020,Solo exposto,18.25,2021
Quântico Data Center,2020,Construção,44.07,2021
Quântico Data Center,2021,Vegetação densa,18.34,2021
Quântico Data Center,2021,Grama,18.98,2021
Quântico Data Center,2021,Solo exposto,12.36,2021
Quântico Data Center,2021,Construção,50.32,2021
Quântico Data Center,2022,Vegetação densa,24.96,2021
Quântico Data Center,2022,Grama,24.36,2021
Quântico Data Center,2022,Solo exposto,8.67,2021
Quântico Data Center,2022,Construção,42.01,2021
Quântico Data Center,2023,Vegetação densa,18.01,2021
Quântico Data Center,2023,Grama,34.16,2021
Quântico Data Center,2023,Solo exposto,4.55,2021
Quântico Data Center,2023,Construção,43.27,2021
Quântico Data Center,2024,Vegetação densa,18.25,2021
Quântico Data Center,2024,Grama,37.92,2021
Quântico Data Center,2024,Solo exposto,3.09,2021
Quântico Data Center,2024,Construção,40.74,2021
Quântico Data Center,2025,Vegetação densa,14.02,2021
Quântico Data Center,2025,Grama,42.97,2021
Quântico Data Center,2025,Solo exposto,0.86,2021
Quântico Data Center,2025,Construção,42.14,2021
Quântico Data Center,2026,Vegetação densa,18.21,2021
Quântico Data Center,2026,Grama,46.0,2021
Quântico Data Center,2026,Solo exposto,1.43,2021
Quântico Data Center,2026,Construção,34.36,2021
