name_datacenter,ano,classe,percentual,ano_operacional_referencia
TO HOST Data Centers,2016,Vegetação densa,0.0,2023
TO HOST Data Centers,2016,Grama,0.0,2023
TO HOST Data Centers,2016,Solo exposto,0.0,2023
TO HOST Data Centers,2016,Construção,0.0,2023
TO HOST Data Centers,2017,Vegetação densa,0.0,2023
TO HOST Data Centers,2017,Grama,11.54,2023
TO HOST Data Centers,2017,Solo exposto,15.08,2023
TO HOST Data Centers,2017,Construção,73.38,2023
TO HOST Data Centers,2018,Vegetação densa,0.08,2023
TO HOST Data Centers,2018,Grama,17.04,2023
TO HOST Data Centers,2018,Solo exposto,17.8,2023
TO HOST Data Centers,2018,Construção,65.08,2023
TO HOST Data Centers,2019,Vegetação densa,0.0,2023
TO HOST Data Centers,2019,Grama,13.54,2023
TO HOST Data Centers,2019,Solo exposto,14.29,2023
TO HOST Data Centers,2019,Construção,72.17,2023
TO HOST Data Centers,2020,Vegetação densa,0.15,2023
TO HOST Data Centers,2020,Grama,12.82,2023
TO HOST Data Centers,2020,Solo exposto,12.48,2023
TO HOST Data Centers,2020,Construção,74.55,2023
TO HOST Data Centers,2021,Vegetação densa,0.34,2023
TO HOST Data Centers,2021,Grama,11.88,2023
TO HOST Data Centers,2021,Solo exposto,11.31,2023
TO HOST Data Centers,2021,Construção,76.47,2023
TO HOST Data Centers,2022,Vegetação densa,0.3,2023
TO HOST Data Centers,2022,Grama,11.99,2023
TO HOST Data Centers,2022,Solo exposto,7.88,2023
TO HOST Data Centers,2022,Construção,79.83,2023
TO HOST Data Centers,2023,Vegetação densa,0.34,2023
TO HOST Data Centers,2023,Grama,12.78,2023
TO HOST Data Centers,2023,Solo exposto,9.62,2023
TO HOST Data Centers,2023,Construção,77.26,2023
TO HOST Data Centers,2024,Vegetação densa,0.41,2023
TO HOST Data Centers,2024,Grama,14.63,2023
TO HOST Data Centers,2024,Solo exposto,11.01,2023
TO HOST Data Centers,2024,Construção,73.94,2023
TO HOST Data Centers,2025,Vegetação densa,0.38,2023
TO HOST Data Centers,2025,Grama,13.31,2023
TO HOST Data Centers,2025,Solo exposto,10.71,2023
TO HOST Data Centers,2025,Construção,75.6,2023
TO HOST Data Centers,2026,Vegetação densa,0.34,2023
TO HOST Data Centers,2026,Grama,13.01,2023
TO HOST Data Centers,2026,Solo exposto,8.67,2023
TO HOST Data Centers,2026,Construção,77.98,2023
